game_id,game_date,team_id,team_name,opponent_id,opponent_name,home_away,actual_margin,current_city,previous_city,games_last_7,games_last_14,density_score,days_since_last_game,travel_miles,travel_load,fatigue_index,fatigue_tier,expected_margin,pve,base_form_diff,win_diff,home_away_adj,fatigue_adj,expected_raw,expected_total
22500010,2025-12-25 00:00:00+00:00,1610612759,San Antonio Spurs,1610612760,Oklahoma City Thunder,A,15,Oklahoma City,San Antonio,4,6,68.0,2,420.5,2,68.4,High,-11.54,26.54,-14.9,-2.2,-4.5,-2.05,-23.65,-11.54
22500010,2025-12-25 00:00:00+00:00,1610612760,Oklahoma City Thunder,1610612759,San Antonio Spurs,H,-15,Oklahoma City,San Antonio,4,5,61.0,2,420.5,2,62.1,High,11.14,-6.54,14.9,2.2,4.5,-1.86,19.74,11.14
22500011,2025-12-25 00:00:00+00:00,1610612742,Dallas Mavericks,1610612744,Golden State Warriors,A,-10,San Francisco,Dallas,4,6,68.0,2,1478.1,3,72.0,Critical,-7.35,-2.65,-1.9,0.0,-4.5,-2.16,-8.56,-7.35
22500011,2025-12-25 00:00:00+00:00,1610612744,Golden State Warriors,1610612742,Dallas Mavericks,H,10,San Francisco,San Francisco,3,5,38.2,3,0.0,1,32.9,Elevated,5.07,4.93,1.9,0.0,4.5,-0.99,5.41,5.07
22500012,2025-12-25 00:00:00+00:00,1610612745,Houston Rockets,1610612747,Los Angeles Lakers,A,23,Los Angeles,Los Angeles,4,6,68.0,2,0.0,1,64.8,High,-11.33,34.33,-10.79,-4.07,-4.5,-1.94,-21.3,-11.33
22500012,2025-12-25 00:00:00+00:00,1610612747,Los Angeles Lakers,1610612745,Houston Rockets,H,-23,Los Angeles,Phoenix,3,4,29.5,2,358.3,2,33.8,Elevated,10.92,-8.48,10.79,4.07,4.5,-1.01,18.34,10.92
22500013,2025-12-25 00:00:00+00:00,1610612743,Denver Nuggets,1610612750,Minnesota Timberwolves,H,4,Denver,Dallas,4,6,68.0,2,662.5,2,68.4,High,-3.48,7.48,-5.03,-1.0,4.5,-2.05,-3.59,-3.48
22500013,2025-12-25 00:00:00+00:00,1610612750,Minnesota Timberwolves,1610612743,Denver Nuggets,A,-4,Denver,Minneapolis,3,6,45.2,2,698.5,2,47.9,Elevated,0.1,-4.1,5.03,1.0,-4.5,-1.44,0.1,0.1
22500014,2026-01-19 00:00:00+00:00,1610612737,Atlanta Hawks,1610612749,Milwaukee Bucks,H,-2,Atlanta,Atlanta,3,7,52.2,2,0.0,1,50.6,High,7.69,-2.91,5.13,1.0,4.5,-1.52,9.12,7.69
22500014,2026-01-19 00:00:00+00:00,1610612749,Milwaukee Bucks,1610612737,Atlanta Hawks,A,2,Atlanta,San Antonio,2,5,18.8,4,878.0,3,20.0,Low,-8.8,10.8,-5.13,-1.0,-4.5,-0.6,-11.23,-8.8
22500015,2026-01-19 00:00:00+00:00,1610612739,Cleveland Cavaliers,1610612760,Oklahoma City Thunder,H,-32,Cleveland,Philadelphia,3,6,45.2,3,358.6,2,41.5,Elevated,-8.33,-5.92,-11.93,-1.6,4.5,-1.24,-10.28,-8.33
22500015,2026-01-19 00:00:00+00:00,1610612760,Oklahoma City Thunder,1610612739,Cleveland Cavaliers,A,32,Cleveland,Miami,3,7,52.2,2,1089.2,3,57.8,High,6.51,25.49,11.93,1.6,-4.5,-1.73,7.3,6.51
22500016,2026-01-19 00:00:00+00:00,1610612742,Dallas Mavericks,1610612752,New York Knicks,A,17,New York,Dallas,4,7,75.0,2,1372.1,3,78.3,Critical,-8.2,25.2,-2.57,-0.6,-4.5,-2.35,-10.02,-8.2
22500016,2026-01-19 00:00:00+00:00,1610612752,New York Knicks,1610612742,Dallas Mavericks,H,-17,New York,New York,3,7,52.2,2,0.0,1,50.6,High,5.66,-5.67,2.57,0.6,4.5,-1.52,6.15,5.66
22500017,2026-01-19 00:00:00+00:00,1610612738,Boston Celtics,1610612765,Detroit Pistons,A,-1,Detroit,Atlanta,3,7,52.2,2,597.5,2,54.2,High,-10.33,5.0,-8.03,-1.4,-4.5,-1.63,-15.56,-10.33
22500017,2026-01-19 00:00:00+00:00,1610612765,Detroit Pistons,1610612738,Boston Celtics,H,1,Detroit,Detroit,2,5,18.8,2,0.0,1,20.5,Low,9.65,-8.65,8.03,1.4,4.5,-0.61,13.32,9.65
22500018,2025-10-24 00:00:00+00:00,1610612738,Boston Celtics,1610612752,New York Knicks,A,-10,New York,Boston,1,1,10.0,2,188.2,1,12.6,Low,-11.16,0.35,-9.0,-6.0,-4.5,-0.38,-19.88,-11.16
22500018,2025-10-24 00:00:00+00:00,1610612752,New York Knicks,1610612738,Boston Celtics,H,10,New York,New York,1,1,10.0,2,0.0,1,12.6,Low,11.05,-1.05,9.0,6.0,4.5,-0.38,19.12,11.05
22500019,2025-10-24 00:00:00+00:00,1610612747,Los Angeles Lakers,1610612750,Minnesota Timberwolves,H,18,Los Angeles,Los Angeles,1,1,10.0,3,0.0,1,10.9,Low,-10.4,28.4,-14.0,-6.0,4.5,-0.33,-15.83,-10.4
22500019,2025-10-24 00:00:00+00:00,1610612750,Minnesota Timberwolves,1610612747,Los Angeles Lakers,A,-18,Los Angeles,Portland,1,1,10.0,2,827.1,3,19.8,Low,10.15,-7.04,14.0,6.0,-4.5,-0.59,14.91,10.15
22500020,2025-10-31 00:00:00+00:00,1610612737,Atlanta Hawks,1610612754,Indiana Pacers,A,20,Indianapolis,Brooklyn,4,5,61.0,2,645.2,2,62.1,High,-1.31,21.31,2.65,2.4,-4.5,-1.86,-1.31,-1.31
22500020,2025-10-31 00:00:00+00:00,1610612754,Indiana Pacers,1610612737,Atlanta Hawks,H,-20,Indianapolis,Dallas,3,4,29.5,2,763.5,2,33.8,Elevated,-1.56,-1.38,-2.65,-2.4,4.5,-1.01,-1.56,-1.56
22500021,2025-10-31 00:00:00+00:00,1610612738,Boston Celtics,1610612755,Philadelphia 76ers,A,1,Philadelphia,Boston,4,5,61.0,2,273.4,1,58.5,High,-7.22,8.22,1.5,-3.6,-4.5,-1.75,-8.36,-7.22
22500021,2025-10-31 00:00:00+00:00,1610612755,Philadelphia 76ers,1610612738,Boston Celtics,H,-1,Philadelphia,Washington,3,4,29.5,3,120.6,1,26.1,Low,5.4,-6.4,-1.5,3.6,4.5,-0.78,5.82,5.4
22500022,2025-10-31 00:00:00+00:00,1610612739,Cleveland Cavaliers,1610612761,Toronto Raptors,H,-11,Cleveland,Boston,4,5,61.0,2,549.1,2,62.1,High,9.32,-20.32,7.4,2.4,4.5,-1.86,12.44,9.32
22500022,2025-10-31 00:00:00+00:00,1610612761,Toronto Raptors,1610612739,Cleveland Cavaliers,A,11,Cleveland,Toronto,4,5,61.0,2,189.2,1,58.5,High,-10.45,21.45,-7.4,-2.4,-4.5,-1.75,-16.06,-10.45
22500023,2025-10-31 00:00:00+00:00,1610612741,Chicago Bulls,1610612752,New York Knicks,H,10,Chicago,Chicago,3,4,29.5,2,0.0,1,30.2,Elevated,10.21,-0.21,8.5,3.0,4.5,-0.91,15.09,10.21
