game_date,matchup,environment_risk,environment_label,drivers,load_risk,behavior_risk,matchup_risk
2025-12-29,Denver Nuggets @ Miami Heat,0.256,Mixed,"fatigue load, volatile teams",0.84,1.0,0.193
2025-12-29,Golden State Warriors @ Brooklyn Nets,0.14,Clean,volatile teams,0.0,1.0,0.346
2025-12-29,Indiana Pacers @ Houston Rockets,0.293,Mixed,"fatigue load, volatile teams",1.0,1.0,0.397
2025-12-29,Milwaukee Bucks @ Charlotte Hornets,0.23,Clean,"fatigue load, volatile teams",0.604,1.0,0.345
2025-12-29,Minnesota Timberwolves @ Chicago Bulls,0.2,Clean,volatile teams,0.544,0.917,0.178
2025-12-29,New York Knicks @ New Orleans Pelicans,0.285,Mixed,"fatigue load, volatile teams",1.0,0.866,0.512
2025-12-29,Orlando Magic @ Toronto Raptors,0.307,Mixed,"fatigue load, volatile teams, mismatch",1.0,1.0,0.601
2025-12-29,Phoenix Suns @ Washington Wizards,0.186,Clean,volatile teams,0.404,1.0,0.127
2025-12-30,Boston Celtics @ Utah Jazz,0.305,Mixed,"fatigue load, volatile teams",1.0,1.0,0.57
2025-12-30,Detroit Pistons @ Los Angeles Lakers,0.206,Clean,volatile teams,0.358,1.0,0.53
2025-12-30,Philadelphia 76ers @ Memphis Grizzlies,0.202,Clean,volatile teams,0.358,0.993,0.482
2025-12-30,Sacramento Kings @ LA Clippers,0.267,Mixed,"fatigue load, volatile teams",0.744,1.0,0.575
2025-12-31,Denver Nuggets @ Toronto Raptors,0.251,Mixed,"fatigue load, volatile teams",0.822,1.0,0.17
2025-12-31,Golden State Warriors @ Charlotte Hornets,0.234,Clean,"fatigue load, volatile teams",0.604,1.0,0.399
2025-12-31,Minnesota Timberwolves @ Atlanta Hawks,0.184,Clean,volatile teams,0.358,1.0,0.205
2025-12-31,New Orleans Pelicans @ Chicago Bulls,0.246,Clean,"fatigue load, volatile teams",0.696,1.0,0.378
2025-12-31,New York Knicks @ San Antonio Spurs,0.21,Clean,volatile teams,0.484,1.0,0.315
2025-12-31,Orlando Magic @ Indiana Pacers,0.215,Clean,"fatigue load, volatile teams",0.84,0.761,0.008
2025-12-31,Phoenix Suns @ Cleveland Cavaliers,0.241,Clean,"fatigue load, volatile teams",0.696,1.0,0.293
2025-12-31,Portland Trail Blazers @ Oklahoma City Thunder,0.28,Mixed,"fatigue load, volatile teams",1.0,1.0,0.197
2025-12-31,Washington Wizards @ Milwaukee Bucks,0.22,Clean,volatile teams,0.544,1.0,0.323
2026-01-01,Boston Celtics @ Sacramento Kings,0.176,Clean,volatile teams,0.286,0.966,0.299
2026-01-01,Houston Rockets @ Brooklyn Nets,0.21,Clean,volatile teams,0.412,1.0,0.468
2026-01-01,Miami Heat @ Detroit Pistons,0.194,Clean,volatile teams,0.412,1.0,0.24
2026-01-01,Philadelphia 76ers @ Dallas Mavericks,0.249,Clean,"fatigue load, volatile teams",0.894,0.716,0.465
2026-01-01,Utah Jazz @ LA Clippers,0.172,Clean,volatile teams,0.292,1.0,0.169
2026-01-02,Atlanta Hawks @ New York Knicks,0.191,Clean,volatile teams,0.484,0.892,0.217
2026-01-02,Brooklyn Nets @ Washington Wizards,0.233,Clean,"volatile teams, mismatch",0.484,1.0,0.655
2026-01-02,Charlotte Hornets @ Milwaukee Bucks,0.202,Clean,volatile teams,0.358,1.0,0.472
2026-01-02,Denver Nuggets @ Cleveland Cavaliers,0.195,Clean,volatile teams,0.556,0.941,0.033
2026-01-02,Memphis Grizzlies @ Los Angeles Lakers,0.18,Clean,volatile teams,0.358,1.0,0.15
2026-01-02,Oklahoma City Thunder @ Golden State Warriors,0.19,Clean,volatile teams,0.412,1.0,0.174
2026-01-02,Orlando Magic @ Chicago Bulls,0.202,Clean,volatile teams,0.484,1.0,0.195
2026-01-02,Portland Trail Blazers @ New Orleans Pelicans,0.189,Clean,volatile teams,0.556,0.878,0.052
2026-01-02,Sacramento Kings @ Phoenix Suns,0.199,Clean,volatile teams,0.484,1.0,0.15
2026-01-02,San Antonio Spurs @ Indiana Pacers,0.215,Clean,volatile teams,0.556,1.0,0.22
2026-01-03,Atlanta Hawks @ Toronto Raptors,0.274,Mixed,"fatigue load, volatile teams",0.894,1.0,0.35
2026-01-03,Boston Celtics @ LA Clippers,0.176,Clean,volatile teams,0.358,1.0,0.083
2026-01-03,Charlotte Hornets @ Chicago Bulls,0.264,Mixed,"fatigue load, volatile teams",0.822,1.0,0.362
2026-01-03,Houston Rockets @ Dallas Mavericks,0.196,Clean,volatile teams,0.402,1.0,0.292
2026-01-03,Minnesota Timberwolves @ Miami Heat,0.198,Clean,volatile teams,0.484,1.0,0.136
2026-01-03,Philadelphia 76ers @ New York Knicks,0.175,Clean,volatile teams,0.556,0.676,0.185
2026-01-03,Portland Trail Blazers @ San Antonio Spurs,0.272,Mixed,"fatigue load, volatile teams",0.894,1.0,0.316
2026-01-03,Utah Jazz @ Golden State Warriors,0.195,Clean,volatile teams,0.484,0.969,0.134
2026-01-04,Denver Nuggets @ Brooklyn Nets,0.201,Clean,volatile teams,0.412,1.0,0.332
2026-01-04,Detroit Pistons @ Cleveland Cavaliers,0.201,Clean,volatile teams,0.556,0.941,0.117
2026-01-04,Indiana Pacers @ Orlando Magic,0.217,Clean,"fatigue load, volatile teams",0.822,0.786,0.033
2026-01-04,Memphis Grizzlies @ Los Angeles Lakers,0.187,Clean,volatile teams,0.292,1.0,0.395
2026-01-04,Milwaukee Bucks @ Sacramento Kings,0.309,Mixed,"fatigue load, volatile teams, mismatch",1.0,1.0,0.629
2026-01-04,Minnesota Timberwolves @ Washington Wizards,0.282,Mixed,"fatigue load, volatile teams",0.894,1.0,0.463
2026-01-04,New Orleans Pelicans @ Miami Heat,0.291,Mixed,"fatigue load, volatile teams",0.966,1.0,0.438
2026-01-04,Oklahoma City Thunder @ Phoenix Suns,0.256,Mixed,"fatigue load, volatile teams",0.84,1.0,0.194
2026-01-05,Atlanta Hawks @ Toronto Raptors,0.304,Mixed,"fatigue load, volatile teams",1.0,1.0,0.56
2026-01-05,Charlotte Hornets @ Oklahoma City Thunder,0.265,Mixed,"fatigue load, volatile teams",0.894,1.0,0.215
2026-01-05,Chicago Bulls @ Boston Celtics,0.301,Mixed,"fatigue load, volatile teams",1.0,1.0,0.517
2026-01-05,Denver Nuggets @ Philadelphia 76ers,0.169,Clean,volatile teams,0.484,0.777,0.084
2026-01-05,Golden State Warriors @ LA Clippers,0.31,Mixed,"fatigue load, volatile teams, mismatch",1.0,1.0,0.647
2026-01-05,New York Knicks @ Detroit Pistons,0.29,Mixed,"fatigue load, volatile teams, mismatch",1.0,0.83,0.648
2026-01-05,Phoenix Suns @ Houston Rockets,0.226,Clean,volatile teams,0.556,1.0,0.385
2026-01-05,Utah Jazz @ Portland Trail Blazers,0.289,Mixed,"fatigue load, volatile teams",1.0,0.863,0.575
2026-01-06,Cleveland Cavaliers @ Indiana Pacers,0.195,Clean,volatile teams,0.556,0.83,0.228
2026-01-06,Dallas Mavericks @ Sacramento Kings,0.254,Mixed,"fatigue load, volatile teams",0.894,0.817,0.373
2026-01-06,Los Angeles Lakers @ New Orleans Pelicans,0.214,Clean,volatile teams,0.484,1.0,0.378
2026-01-06,Miami Heat @ Minnesota Timberwolves,0.279,Mixed,"fatigue load, volatile teams",0.964,1.0,0.268
